"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YOL154W",14.5261928455081,0.157331512613908,0.466725178068109,0.686192416022261,0.761691964283417
"YOL155C",448.977817197417,-1.14187267356423,0.18255674232861,1.23780127118613e-10,1.58860291463512e-09
"YOL159C",11.7365654550413,5.31569940459387,1.55263465005937,1.00411129435402e-07,7.89275016063372e-07
"YOL159C-A",12.0912753300884,5.66422659190961,1.55653246334761,5.33148942158502e-08,4.42460230824245e-07
"YOR001W",67.3390368799548,-0.480348143904085,0.255415921774778,0.0472896430113148,0.0877566279938059
"YOR002W",159.126336513017,-1.43032968324259,0.267097241773574,1.202795476571e-08,1.11817573070326e-07
"YOR003W",122.982794689054,-1.47948876830912,0.303489360017229,1.29764634251075e-07,9.91784773768756e-07
"YOR004W",33.6590776695872,0.845831604752039,0.351711109350092,0.00775826946265111,0.0186281958414069
"YOR005C",90.5128201359991,-0.061114639807899,0.248468657843423,0.796041305159279,0.847153845391483
"YOR006C",78.6959177894975,-0.124643688862112,0.244711693412082,0.592983752456254,0.681572963740584
"YOR007C",605.698582411117,-0.396906551842972,0.160985538010447,0.0117638960451269,0.0266951956895419
"YOR008C",157.72879543099,-0.72629434051813,0.208884004399883,0.000313928274034627,0.00112274840793765
"YOR009W",22.9299851158385,0.484755259661038,0.411248013885941,0.175699913323715,0.259162899004988
"YOR010C",30.2514450580735,0.118142014190277,0.336533640870087,0.700491975488956,0.773568237161895
"YOR011W",50.9986007944947,-1.48102323120004,0.363977878576997,5.37647237460687e-06,2.90129453442739e-05
"YOR014W",287.827356052436,0.284055266326848,0.178138395726024,0.101672869407695,0.165211292838666
"YOR015W",87.6008051481806,0.919933230576441,0.259882171847162,0.000181924582029003,0.000692029180557539
"YOR016C",66.1846308990997,-0.675908952311937,0.246765963089527,0.00398718023927229,0.0104281481370688
"YOR017W",63.0290340824376,-0.2966049079175,0.249735523934995,0.211512342923981,0.301544138928979
"YOR018W",59.0776267768137,0.383065564825996,0.258746960910161,0.117936506327686,0.187497244819242
"YOR019W",88.781819441446,2.9011720078432,0.328149040076428,6.0249908013313e-21,3.2664459475255e-19
"YOR020C",554.469610881372,1.20784222297922,0.238607037110442,1.07065224892303e-07,8.36354855098193e-07
"YOR020W-A",168.581266262401,1.39595756824978,0.237123301631727,6.21267137633635e-10,7.17922443309306e-09
"YOR021C",71.3110300390758,0.296013273369572,0.267361420814264,0.240692734687666,0.332983119185916
"YOR022C",55.4890814690041,0.146177519742336,0.255024078066974,0.54582709569351,0.639277807817091
