"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YNL223W",77.7758523401143,-0.223946762713343,0.254139111794789,0.332342564570727,0.471489170231056
"YNL224C",66.764662152262,0.168189289563258,0.227968845903127,0.42389700357064,0.564644435755059
"YNL225C",76.6480901659921,0.6473777026057,0.33361880861996,0.0240170443845518,0.0605284764681134
"YNL227C",69.9226230399738,0.208100957201582,0.324272871094311,0.456793330539199,0.594005404720443
"YNL228W",9.19545031566111,0.209943967073382,0.450927583782381,0.529711724868914,0.657858641824999
"YNL229C",78.7315867257952,0.972883361964158,0.263179369805524,4.91544860759297e-05,0.000300786048234671
"YNL230C",39.0878620141614,-0.503674847662704,0.31706157837584,0.0681153556312461,0.140069896496582
"YNL231C",456.61414186943,0.586212718187692,0.198936759126247,0.00193316460044812,0.00717066562406766
"YNL232W",74.0778845802125,-0.135581757791054,0.213908413544046,0.495164334492496,0.627142538747595
"YNL233W",86.5891817541469,0.0311534855342768,0.227411164093355,0.88215515137614,0.924883794168261
"YNL234W",210.701407620365,-1.06620816625155,0.185332066904787,1.59785216085855e-09,2.54646713877485e-08
"YNL235C",15.1144952188508,0.589393581297546,0.406422994345947,0.0681471695031748,0.140085659209042
"YNL236W",56.996942038874,-0.287915280556088,0.254148330171819,0.212915837829019,0.33885453367521
"YNL237W",76.2742720521029,0.000971578800663682,0.282036412289883,0.996921453978822,0.998477379584032
"YNL238W",119.006137739044,-0.707319700924452,0.200695428654474,0.000207905124465669,0.00105794528686434
"YNL239W",276.988310656434,-0.41574235492331,0.20709230041142,0.032690667835596,0.0778625581660885
"YNL240C",59.4077424123556,0.535189137109505,0.251480913104173,0.0204139093011762,0.052890168761109
"YNL241C",268.17997333471,1.15064939818673,0.240569080126059,2.05711633943226e-07,2.23052932430776e-06
"YNL242W",159.347880186094,-0.925255954408836,0.251897276888306,6.38534939287844e-05,0.000377588295903036
"YNL243W",161.571661148829,0.371201152982592,0.190961359743537,0.0398992962467416,0.0918111136562269
"YNL244C",316.241408400215,0.576536522745872,0.193150091298988,0.00174234706000464,0.00658459628344425
"YNL245C",49.519283407963,-0.0108237620503186,0.269151012292493,0.964400961269144,0.976691685810458
"YNL246W",43.4128942789747,0.254403259376936,0.26296973573427,0.284589027008692,0.421148200427914
"YNL247W",93.2062982082585,0.812014527412646,0.24017262605477,0.00026702059020374,0.00131940923660298
"YNL248C",40.6052707207021,0.545788653865733,0.306719460438808,0.0430267733317725,0.0972334678993425
"YNL249C",33.6118948835101,0.416952744785273,0.289587546167242,0.105453545376308,0.198744644810904
"YNL250W",101.147234164474,0.0891919937604507,0.254358945879754,0.699832874247216,0.792716843976188
"YNL251C",192.562363167755,-0.212059521579781,0.176369064440895,0.202438208805055,0.32662511700895
"YNL252C",78.2322097558033,0.780605499508188,0.244940002434281,0.00056852878526211,0.00252143385573815
"YNL253W",29.8334607908888,-0.172925328513255,0.289994968734125,0.501453721748733,0.632362230796629
"YNL254C",59.2328935014754,-1.02338792794277,0.245707789849803,6.0709818088448e-06,4.85762282387706e-05
"YNL255C",264.918843698435,0.229662512028517,0.169969629045459,0.153294485939742,0.264267849312465
"YNL256W",72.6622889231029,0.23925032621917,0.232439163145119,0.263491524228399,0.398200973791981
"YNL257C",111.914702277341,-0.0645978266262342,0.193958023970165,0.722632260422606,0.812401112928593
"YNL258C",110.437162631674,-0.0267948305703422,0.21073798731679,0.891475232320076,0.930953703454322
"YNL259C",36.7522562363973,0.967593898282554,0.334234904967172,0.000755294057370103,0.00317553830658252
"YNL260C",12.8909450921388,0.336327498401496,0.452768854007684,0.316555579356708,0.455667224776244
"YNL261W",38.3063106910543,0.28868294127952,0.293583735324301,0.266477046252104,0.400786451985599
"YNL262W",177.500953225238,0.0166434809535787,0.175056531689529,0.919909119340515,0.9496173290372
"YNL263C",51.3460985117009,0.387764739413955,0.310663710389615,0.153176158451688,0.264142358852034
"YNL264C",47.0003175019296,-1.47031355120324,0.297681355510664,1.74731830150325e-08,2.25248743711564e-07
"YNL265C",47.6641104838843,0.0612118994508824,0.246071468412359,0.78556459657495,0.858030139473732
"YNL266W",40.1977843298282,0.531076034114652,0.364902667155665,0.0802213441812714,0.159777030177122
"YNL267W",134.454202790541,-0.268405812347155,0.186676247263038,0.126842092201599,0.229725562554317
"YNL268W",239.764806109254,-0.0457389145808769,0.179315779334897,0.786957769949223,0.858510028058634
"YNL269W",9.62856387118153,-1.37346182845886,0.557930154272244,0.000397819313733125,0.00185064141055802
"YNL270C",26.8194159107868,-0.835147151456901,0.321756435451344,0.00285664302724825,0.0100189759377673
"YNL271C",754.231993390586,-0.958412251462587,0.260070617337365,5.41817615085461e-05,0.000325708184985571
"YNL272C",89.5878730242297,-0.121177669265637,0.216525747023198,0.546574922597943,0.671469954678244
"YNL273W",114.548416141221,0.723113129003477,0.211734506397256,0.000298541394285109,0.00145532657835959
"YNL274C",441.334680378996,-0.167514218810539,0.186400971441234,0.338727469831101,0.478208335967442
"YNL275W",78.4723021483771,-0.043898582714392,0.223064316306446,0.831725772512203,0.890398276681699
"YNL276C",179.04335397935,1.32620835576553,0.326922075969993,2.28929704272221e-06,2.01826932292272e-05
"YNL277W",239.93490663338,0.628312693934056,0.193107122575255,0.000647482074428846,0.00281351574064549
"YNL277W-A",28.7877031926789,-0.318029121367966,0.486434530331048,0.351829474294799,0.492345911127688
"YNL278W",63.3438027441054,-0.555158836481939,0.250117739809168,0.0157545693067221,0.0428870279438267
"YNL279W",13.354398545456,0.561837938158413,0.387247387405237,0.0741231912896533,0.149532052076722
